name,address,region,type1,type2,type3,person_price,well_rating,bad_rating
丼燃食堂,花園街3-5號鴻威大廈地下6號舖,旺角,日本菜,壽司,刺身,$101-200,454,10
Hungry Monkey (金朝陽中心二期 - Midtown),登龍街1-29號金朝陽中心二期 - Midtown地下B號舖,銅鑼灣,日本菜,鐵板燒,,$201-400,518,23
Hunky Dory,白石角香港科學園科技大道西19號19W大樓2樓245室,沙田,多國菜,漢堡包,,$101-200,508,16
濟州燒肉食堂,渣華道123號北角匯二期2樓210號舖,北角,韓國菜,韓燒,,$101-200,529,18
古今二 (荃灣千色匯I),眾安街68號荃灣千色匯I 3樓3013號舖,荃灣,日本菜,壽司,刺身,$201-400,646,23
吉列牛忌廉烏冬專門店 (百樂中心),耀華街3號百樂中心22樓,銅鑼灣,韓國菜,日本菜,,$101-200,1103,36
就是偏偏喜歡你,耀華街3號百樂中心16樓1602-1603號舖,銅鑼灣,多國菜,甜品,糖水,$201-400,524,2
長阪燒,砵蘭街189號2樓,旺角,日本菜,爐端燒,,$201-400,813,19
家後,基隆街211號地舖,深水埗,港式,粉麵,米線,$50以下,520,4
神燈海鮮酒家,長樂街14-20號18廣場地舖及1樓,佐敦,粵菜 (廣東),海鮮酒家,,$101-200,528,20
The Musicbox Grill House & Bar,駱克道459-461號The L. Square 8樓,銅鑼灣,西式,燒烤,,$201-400,895,2
Little Fresh Cafe & Bar,登打士街36號恆威商業中心18樓,旺角,多國菜,樓上cafe,,$101-200,519,2
古今二 (荃新天地),楊屋道1號荃新天地1樓116號舖,荃灣,日本菜,壽司,刺身,$201-400,505,4
泰嘟嘟,利得街14號地舖,大角咀,泰國菜,,,$51-100,528,7
老厝邊,埃華街92號地舖,大角咀,台灣菜,,,$51-100,525,19
Chatterbox Café (K11 Musea),梳士巴利道18號維港文化匯K11 Musea B1樓B110號舖,尖沙咀,新加坡菜,咪嘥嘢食店,,$101-200,486,33
川滿居 (京都廣場),駱克道491-499號京都廣場6樓,銅鑼灣,川菜 (四川),京川滬,,$101-200,656,8
Café Crêpe (威靈頓街),威靈頓街15B號地舖,中環,多國菜,薄餅,,$101-200,596,10
Chef's Stage Kitchen (西菁街),西菁街23號富達廣場地下52-56號舖,元朗,西式,漢堡包,,$201-400,608,9
上戶酒場,龍崗道33-39號龍翔閣地下A號舖,九龍城,日本菜,串燒,,$201-400,439,4
漁獲浜燒,軒尼詩道525號澳門逸園中心18樓,銅鑼灣,日本菜,海鮮,,$201-400,1128,10
野川拉麵の深燒食堂,又新街40-48號榮豐大廈地下B號舖,元朗,日本菜,拉麵,,$51-100,651,15
捌壹壹 (奶路臣街),奶路臣街33號地下F號舖,旺角,川菜 (四川),火鍋,,$201-400,735,19
Espresso Alchemy,楊屋道8號如心廣場一期地下G02號舖,荃灣,西式,三文治,,$51-100,485,4
Bingo & Cook,駱克道487-489號駱克駅2樓,銅鑼灣,韓國菜,韓式炸雞,,$101-200,1456,28
Verde MAR,西營盤水街41號地舖,西環,西式,墨西哥菜,,$201-400,417,8
泰象館,城南道48號地舖,九龍城,泰國菜,海鮮,,$101-200,691,24
米走雞 (太子藍馬之城),彌敦道761號太子藍馬之城2樓,旺角,港式,火鍋,,$101-200,927,23
蟹慶,軒尼詩道525號澳門逸園中心地庫,銅鑼灣,日本菜,海鮮,,$201-400,590,13
殿 大喜屋,金巴利道26號1樓,尖沙咀,日本菜,壽司,刺身,$201-400,954,48
芝加哥串燒酒場 (太和中心),大埔太和路15號太和中心地下37號舖,太和,多國菜,酒,,$101-200,667,4
牛惣居酎屋,登龍街28號永光中心22樓,銅鑼灣,日本菜,居酒屋,,$201-400,597,13
班蘭葉印尼餐廳,糖街1-5號銅鑼灣商業大廈地下B2號舖,銅鑼灣,印尼菜,粉麵,米線,$51-100,570,6
茶茶Go,登打士街43P-43S號鴻輝大廈地下9B號舖,旺角,台灣菜,台式飲品,,$50以下,428,6
新肥泉海鮮大排檔,寶靈街17號官涌市政大廈2樓熟食中心,佐敦,粵菜 (廣東),港式,,$201-400,718,15
孖寶車仔麵,葵富路7-11號葵涌廣場地下A15號舖,葵芳,港式,車仔麵,,$50以下,600,12
雲家小鍋米線 (328廣場),沙咀道328號328廣場地下G01號舖,荃灣,滇菜 (雲南),粉麵,米線,$50以下,516,20
Lúa,東角道26號怡安大廈1樓13-15號舖及地下13-16號舖,銅鑼灣,越南菜,酒,,$101-200,517,24
Mokumoku Yakiton (永光商業大廈),軒尼詩道499號永光商業大廈7樓,銅鑼灣,日本菜,串燒,,$201-400,677,13
香江花月 (百誠大廈),佐敦道31-37號百誠大廈2樓,佐敦,粵菜 (廣東),港式,,$201-400,371,9
牛大人台灣火鍋吃到飽 (瓊華中心),彌敦道628號瓊華中心9樓,旺角,台灣菜,火鍋,,$201-400,616,5
Cambo ขุนทอง (The ONE),彌敦道100號The ONE 4樓L403號舖,尖沙咀,泰國菜,,,$101-200,999,94
Chill and Grill,堅尼地城加多近街57號地舖,西環,西式,All Day Breakfast,,$201-400,460,12
天天海南雞飯 (ELEMENTS圓方),柯士甸道西1號ELEMENTS圓方水區1樓1050A號舖,尖沙咀,新加坡菜,,,$101-200,497,42
峇里堂,彌敦道176號The Nate 3樓,尖沙咀,印尼菜,咖啡店,,$101-200,371,20
喫茶ちょうぼ,安邦路8&10號大埔超級城B區2樓276號舖,大埔,日本菜,西式,,$101-200,459,17
醉胡爐,柯士甸路20號保發商業大廈地舖,尖沙咀,港式,火鍋,,$201-400,968,17
大滾友火鍋,鳳攸南街9號好順利大廈一座地下G4-G5號舖,元朗,港式,火鍋,,$201-400,587,16
Green Waffle Diner (希慎廣場),軒尼詩道500號希慎廣場13樓1303號舖,銅鑼灣,西式,美國菜,,$101-200,744,28
麥金.麥金馬來西亞特式茶啡室,大全街6-20號大富樓地下A2B號舖,大角咀,泰國菜,馬來西亞菜,,$51-100,549,24
반찬앤쿡 Banchan and Cook (時代廣場),勿地臣街1號時代廣場9樓922-923號舖,銅鑼灣,韓國菜,,,$101-200,479,37
星怡,彌敦道63號iSQUARE國際廣場3樓303號舖,尖沙咀,新加坡菜,,,$101-200,392,5
Pancake 專門,百德新街57號海華大廈地下B號舖,銅鑼灣,日本菜,甜品,糖水,$101-200,514,15
GoodDay BadDay MamaDay,加連威老道27-27A號嘉榮大廈地舖及1樓,尖沙咀,多國菜,All Day Breakfast,,$101-200,979,15
巧得鍋,成業街15-17號成運工業大廈1樓12-14號舖,觀塘,港式,火鍋,,$201-400,526,18
吃吧 (僑建大廈),彌敦道566-568號僑建大廈2樓2室,旺角,西式,酒,,$101-200,850,14
德美壽司,厚福街8號H8 5樓,尖沙咀,日本菜,壽司,刺身,$101-200,668,21
Odelice! (蘭杜街),蘭杜街2號地下9號舖,灣仔,法國菜,西式,,$101-200,792,42
大圍小館,積福街92號地舖,大圍,粵菜 (廣東),港式,,$201-400,409,21
am.pm (譽發廣場),彌敦道560譽發廣場地下B號舖,油麻地,西式,甜品,糖水,$50以下,668,42
為食火鍋公司,創業街15號萬泰利廣場地下C號舖,觀塘,多國菜,火鍋,,$101-200,513,7
三日月,金馬倫道23號金馬倫廣場2樓B號舖,尖沙咀,日本菜,鐵板燒,,$801以上,681,15
友拉麵,西樓角路202-216號昌寧大廈1樓53-54號舖,荃灣,日本菜,拉麵,,$51-100,395,4
樂天皇朝 (利舞臺廣場),波斯富街99號利舞臺廣場6樓,銅鑼灣,粵菜 (廣東),滬菜 (上海),,$101-200,903,40
Amplifier Restaurant (花園街),花園街3-5號鴻威大廈1樓B號舖,旺角,西式,酒,,$101-200,625,8
Comfy by Chef's Stage (東廣場),成業街7號東廣場地下G25-31 & G59號舖,觀塘,西式,漢堡包,,$101-200,402,6
Bubble Tree (成業工業大廈),成業街19-21號成業工業大廈2樓27室,觀塘,多國菜,三文治,,$51-100,434,8
鳳雛燉雞,彌敦道726號10樓,旺角,韓國菜,,,$101-200,589,33
楚撚記大排檔,川龍街118號百悅坊地舖至1樓,荃灣,粵菜 (廣東),大牌檔,,$101-200,316,13
榮哥廚房私房菜,觀塘道436-484號觀塘工業中心3期4樓L室,觀塘,粵菜 (廣東),中菜館,,$201-400,685,17
沙田新強記燒鵝海鮮酒家,積運街2-8號海福花園商場地下47-50號舖,大圍,粵菜 (廣東),點心,,$101-200,406,2
極尚大喜屋 (銅鑼灣廣場一期),軒尼詩道489號銅鑼灣廣場一期9樓,銅鑼灣,日本菜,任食,放題,$201-400,778,27
鮨逸,駱克道487-489號駱克駅27樓,銅鑼灣,日本菜,廚師發辦,,$801以上,457,5
燚,翠樂街11號美豐花園地下10號舖,大埔,日本菜,鐵板燒,,$401-800,409,0
Contrast,福榮街512-518號依時大廈地舖,長沙灣,西式,咖啡店,,$51-100,374,17
甜姨姨 (耀華街),耀華街11號地舖,銅鑼灣,港式,甜品,糖水,$50以下,413,14
Mobin,洗衣街37號1樓,旺角,多國菜,All Day Breakfast,,$101-200,305,4
Bayfare Social,梳士巴利道18號香港瑰麗酒店5樓,尖沙咀,西班牙菜,西式,,$201-400,255,12
The Salted Pig (新城市廣場一期),沙田正街18號新城市廣場一期7樓702號舖,沙田,西式,美國菜,,$101-200,445,32
牛大人台灣火鍋吃到飽 (大鴻輝(荃灣)中心),眾安街55號大鴻輝(荃灣)中心16樓,荃灣,台灣菜,火鍋,,$101-200,681,12
炑八韓烤 (瓊華中心),彌敦道628號瓊華中心5樓,旺角,韓國菜,烤肉,,$201-400,596,19
Dirty Skillet,筲箕灣道393號形薈地下G12號舖,筲箕灣,多國菜,薄餅,,$51-100,435,3
La Serre,海濱道90號地下1號舖,觀塘,西式,扒房,,$201-400,466,32
漁正居酒屋,庇利金街42號金陵大廈地舖,佐敦,日本菜,壽司,刺身,$101-200,445,13
Casamigos,駱克道487-489號駱克駅3樓,銅鑼灣,西班牙菜,西式,,$201-400,324,2
淥鼎記,觀塘道414號1亞太中心8樓,觀塘,港式,川菜 (四川),,$201-400,748,26
聚來車仔麵,基隆街172號地舖,深水埗,港式,車仔麵,,$50以下,345,4
一鍋堂 (XX Arcade),豉油街60-104號XX Arcade東翼2樓,旺角,港式,火鍋,,$101-200,1000,25
牧羊少年與他的浮萍,梳士巴利道10號香港文化中心地舖,尖沙咀,西式,All Day Breakfast,,$201-400,405,1
牡蠣小屋,駱克道459-461號The L. Square10樓,銅鑼灣,日本菜,,,$201-400,373,12
The Optimist,軒尼詩道239號地舖至2樓,灣仔,西班牙菜,酒,,$201-400,290,17
女人街食飯公司,通菜街1A-1L威達商業大廈1樓B室,旺角,港式,中菜館,,$101-200,607,25
露面手工拌麵料理,莊士敦道55號地下A號舖,灣仔,台灣菜,粉麵,米線,$51-100,455,30
築地日本料理 (金百利廣場),記利佐治街1號金百利廣場7樓R1室,銅鑼灣,日本菜,壽司,刺身,$101-200,851,20
Paper Moon,廣東道3-27號海港城海運大廈3樓OTE301號舖,尖沙咀,意大利菜,薄餅,,$201-400,290,71
岩鹽日本料理 (利舞臺廣場),波斯富街99號利舞臺廣場16樓A號舖,銅鑼灣,日本菜,海鮮,,$101-200,604,11
Shahrazad Lebanese Dining Lounge & Bar,雲咸街75-77號嘉兆商業大廈2樓,中環,中東菜,黎巴嫩菜,,$201-400,499,9
阿爺八鮮鍋,登打士街43H號登打士廣場3樓,旺角,粵菜 (廣東),港式,,$201-400,561,25
