name,address,region,type1,type2,type3,person_price,well_rating,bad_rating
必勝客,坳背灣街27-31號協興工業中心地下B2E號舖,火炭,意大利菜,薄餅,,$101-200,3,0
必勝客,佳美道23號赤柱廣場1樓101號舖,赤柱,意大利菜,薄餅,,$101-200,2,0
必勝客,良德街11號寶怡花園地下5-6號舖,屯門,意大利菜,薄餅,,$101-200,17,5
LAMMA EXPRESS,榕樹灣大街44號地舖,南丫島,意大利菜,薄餅,,$101-200,1,0
必勝客,蘇杭街49-51號建安商業大廈地舖,上環,意大利菜,薄餅,,$101-200,10,3
必勝客,銅鑼灣道19-23號建康商業大廈地下4號舖,銅鑼灣,意大利菜,薄餅,,$101-200,3,1
必勝客,盛泰道100號杏花新城地下G50號舖,杏花邨,意大利菜,薄餅,,$101-200,4,0
必勝客,雲漢街73-87號南僑大廈地下E&E1號舖,觀塘,意大利菜,薄餅,,$101-200,7,1
Jaspas Bar & Grill,沙咀街13A號地舖,西貢,意大利菜,西式,,$101-200,,
必勝客,寶琳寶琳北路18號寶林村寶勤樓地下121-122號舖,將軍澳,意大利菜,薄餅,,$101-200,3,0
必勝客,鳯琴街22號金龍樓地下6號舖,元朗,意大利菜,薄餅,,$101-200,,
必勝客,運動場道15號京華大廈地下11號地舖,太子,意大利菜,薄餅,,$101-200,,
必勝客,西營盤聖士提反里3號亨順閣地下B號舖,西環,意大利菜,薄餅,,$101-200,7,1
必勝客,天瑞路88號俊宏軒俊宏廣場地下L14-L16號舖,天水圍,意大利菜,薄餅,,$101-200,3,2
必勝客,恆康街2號耀安商場地下107A號舖,馬鞍山,意大利菜,薄餅,,$101-200,,1
The Mickey B Pizza Co.,黃泥涌道35號地舖,跑馬地,意大利菜,薄餅,,$101-200,,
必勝客,竹園道15號竹園廣場1樓S113號舖,黃大仙,意大利菜,薄餅,,$101-200,,
必勝客,大埔墟寶湖道18號麗湖閣11&12號地舖,大埔,意大利菜,薄餅,,$101-200,,1
Lido Cucina Italiana,香島道深水灣海灘西座地舖,深水灣,意大利菜,海鮮,,$101-200,,
必勝客,嘉榮街3-7號油塘中心嘉發商場地下G13號舖,油塘,意大利菜,薄餅,,$101-200,2,0
必勝客,成和道69C號地舖,跑馬地,意大利菜,薄餅,,$101-200,1,0
必勝客,羅便臣道34號低層地舖,半山,意大利菜,薄餅,,$101-200,,
必勝客,親民街16號西貢花園地下13號舖,西貢,意大利菜,薄餅,,$101-200,3,1
必勝客,啟業道18號啟業商場地下3A號舖,九龍灣,意大利菜,薄餅,,$101-200,,
必勝客,置富南區廣場2樓美食嘉年華5號舖,薄扶林,意大利菜,薄餅,,$101-200,,1
