TYPE,DIST,LICNO,SS,ADR,INFO,EXPDATE,lat,lng,census_subnit,geometry,nearest_pedestrian(in m)
RL,92,2292000010,東江,"290, G/F., 290-292, M/F, SHA TSUI ROAD, TSUEN WAN, NEW TERRITORIES",,2023-06-30,22.36932735534819,114.117078387233,1006.0,POINT (22.36932735534819 114.117078387233),129.57103793720938
RL,92,2292000047,海蓮,"15-16, WING KA HOUSE, FUK LOI ESTATE, G/F., TSUEN WAN, NEW TERRITORIES",,2023-06-30,22.373866994108013,114.1124345614167,989.0,POINT (22.373866994108013 114.1124345614167),129.56454418851393
RL,92,2292000056,裕記,"NO. 9 SAN TSUEN MAIN STREET, G/F & 1/F, SHAM TSENG, TSUEN WAN, NEW TERRITORIES",,2023-06-30,22.353245961644333,114.10051331580638,1072.0,POINT (22.353245961644333 114.10051331580638),129.57067891416852
RL,92,2292000065,能記飯店,"13 MAIN STREET, SAN TSUEN, SHAM TSENG, TSUEN WAN, NEW TERRITORIES",,2023-06-30,22.37008224800008,114.05948684100008,1061.0,POINT (22.37008224800008 114.05948684100008),129.52975381661625
RL,92,2292000074,圓玄學院,"YUEN YUEN INSTITUTE, LO WAI, TSUEN WAN, NEW TERRITORIES",,2023-06-30,22.383020000000045,114.12272000000009,973.0,POINT (22.383020000000045 114.12272000000009),129.565357014177
