TYPE,SS,ADR,INFO,lng,lat,census_subnit,number_of_nearby_restaurants,number_of_bus_stops,number_of_MTR_stations,number_of_schools,number_of_commercial_facilities,number_of_government_facilities,number_of_religious_facilities,number_of_medical_facilities,number_of_hotel_facilities,mean_median_age,median_hs_income,mean_hs_size,labour_force_percent,chinese_percent,pop_m_percent,ten_oc_percent,rent_to_income_ratio,survive
RR,LINQ BAR,"G/F., 35 POTTINGER STREET, CENTRAL, HONG KONG",,114.1547186645468,22.282291935888253,71.0,157,0,0,2,2,7,0,0,3,39.93439197659841,37040,2.088132635253054,0.5754283326368576,0.6836606769745089,0.4358545758462181,0.3926701570680628,0.214,1
RR,KUEN KEE,"SHOP NO. 5, UG/F., 138 QUEEN'S ROAD CENTRAL, CENTRAL, HONG KONG",,114.15420728463408,22.283965760042875,61.0,58,0,0,1,3,0,0,0,4,50.23044925124792,42090,2.047700170357752,0.6468386023294509,0.7133943427620633,0.4779534109816972,0.3364565587734242,0.271,1
RR,STARBUCKS COFFEE,"SHOPS 308-310, 3/F, EXCHANGE SQUARE PODIUM, 8 CONNAUGHT PLACE, CENTRAL, HONG KONG",,114.15835875745783,22.283442184461023,71.0,15,3,4,0,1,4,0,0,0,39.93439197659841,37040,2.088132635253054,0.5754283326368576,0.6836606769745089,0.4358545758462181,0.3926701570680628,0.214,1
RR,DROP,"BASEMENT, ON LOK MANSION, 39-43 HOLLYWOOD ROAD, CENTRAL, HONG KONG",,114.15350035492024,22.28230404773835,71.0,143,0,0,0,3,3,0,0,4,39.93439197659841,37040,2.088132635253054,0.5754283326368576,0.6836606769745089,0.4358545758462181,0.3926701570680628,0.214,1
RR,STARBUCKS COFFEE,"SHOP 3, LG/F, CITIBANK PLAZA, 3 GARDEN ROAD, CENTRAL, HONG KONG",,114.16055590573724,22.27846186714176,73.0,8,0,0,0,1,2,0,0,1,50.24724448897796,45040,2.257918552036199,0.5871743486973948,0.6683366733466933,0.3912825651302605,0.4886877828054298,0.308,1
RR,Point One Bar,"G/F, 33 WING WO STREET, CENTRAL, HONG KONG",,114.15395482171044,22.285522279462555,61.0,60,7,3,0,1,4,0,0,0,50.23044925124792,42090,2.047700170357752,0.6468386023294509,0.7133943427620633,0.4779534109816972,0.3364565587734242,0.271,1
RR,Felfela II,"SHOP 1, G/F., COSMOS BUILDING, 8-11 LAN KWAI FONG, CENTRAL, HONG KONG",,114.15562516737526,22.280638940763023,71.0,139,0,0,2,3,3,0,0,10,39.93439197659841,37040,2.088132635253054,0.5754283326368576,0.6836606769745089,0.4358545758462181,0.3926701570680628,0.214,1
RR,Fire N Ice,"SHOP 2, G/F., COSMOS BUILDING, 8-11 LAN KWAI FONG, CENTRAL, HONG KONG",,114.15562516737526,22.280638940763023,71.0,139,0,0,2,3,3,0,0,10,39.93439197659841,37040,2.088132635253054,0.5754283326368576,0.6836606769745089,0.4358545758462181,0.3926701570680628,0.214,0
RR,BIAN MIAN GUAN,"BASEMENT, 51 WELLINGTON STREET, CENTRAL, HONG KONG",,114.15501069005347,22.282577130143792,71.0,136,0,0,2,2,8,0,0,3,39.93439197659841,37040,2.088132635253054,0.5754283326368576,0.6836606769745089,0.4358545758462181,0.3926701570680628,0.214,1
RR,VINEYARD,"FLAT F, UG/F., HO LEE COMMERCIAL BUILDING, 17-22 LAN KWAI FONG, CENTRAL, HONG KONG",,114.15532652016508,22.280737218577755,71.0,142,0,0,0,3,5,0,0,3,39.93439197659841,37040,2.088132635253054,0.5754283326368576,0.6836606769745089,0.4358545758462181,0.3926701570680628,0.214,0
