TYPE,SS,ADR,INFO,lng,lat,census_subnit,number_of_nearby_restaurants,number_of_bus_stops,number_of_MTR_stations,number_of_schools,number_of_commercial_facilities,number_of_government_facilities,number_of_religious_facilities,number_of_medical_facilities,number_of_hotel_facilities,mean_median_age,median_hs_income,mean_hs_size,labour_force_percent,chinese_percent,pop_m_percent,ten_oc_percent,rent_to_income_ratio,survive
RL,"City Hall Maxim’s Palace; City Hall Maxim’s Cafe, Deli and Wine","G/F(PTN), 1/F(PTN), 2/F &2 BALCONIES ON 1-2/F, CITY HALL LOW BLOCK, CENTRAL, HONG KONG",#G,114.1616361,22.2822389,73.0,2,0,1,0,2,2,0,0,0,50.24724448897796,45040,2.257918552036199,0.5871743486973948,0.6683366733466933,0.3912825651302605,0.4886877828054298,0.308,0
RL,KAU KEE RESTAURANT,"G/F, 21 GOUGH STREET, CENTRAL, HONG KONG",,114.152541,22.284238,62.0,71,0,0,1,9,1,0,1,4,50.67512161223071,47630,2.167168674698796,0.6007644197359278,0.6848505906879777,0.4798471160528144,0.4269578313253012,0.281,1
RL,DOTCOD,"SHOP B4, B/M & G/F (PTN), PRINCE'S BLDG, 10 CHATER ROAD, CENTRAL, HONG KONG",#F,114.1592117,22.2811963,73.0,18,1,3,0,9,4,0,0,1,50.24724448897796,45040,2.257918552036199,0.5871743486973948,0.6683366733466933,0.3912825651302605,0.4886877828054298,0.308,1
RL,均樂茶餐廳,"BASEMENT, 4 GAGE STREET, CENTRAL, HONG KONG",,114.1537498,22.2826812,71.0,127,0,0,0,3,3,0,0,5,39.93439197659841,37040,2.088132635253054,0.5754283326368576,0.6836606769745089,0.4358545758462181,0.3926701570680628,0.214,1
RL,OLE ' SPANISH RESTAURANT & WINE BAR,"1/F, SHUN HO TOWER, 24-30 ICE HOUSE STREET, CENTRAL, HONG KONG",,114.1564993,22.2803307,73.0,46,0,0,0,3,2,0,0,8,50.24724448897796,45040,2.257918552036199,0.5871743486973948,0.6683366733466933,0.3912825651302605,0.4886877828054298,0.308,1
RL,MARRIOTT HK HOTEL,"LG2(PTN), L4(PTN), L5 & L7(PTN), HK MARROTT HOTEL, PACIFIC PLACE, 88 QUEENSWAY, CENTRAL, HONG KONG",#F#G#H,114.1649087,22.2772459,73.0,30,2,0,0,0,3,0,0,2,50.24724448897796,45040,2.257918552036199,0.5871743486973948,0.6683366733466933,0.3912825651302605,0.4886877828054298,0.308,1
RL,JW MARRIOTT HOTEL HONG KONG,"LEVEL 3, PACIFIC PLACE, 88 QUEENSWAY, CENTRAL, HONG KONG",,114.1649087,22.2772459,73.0,30,2,0,0,0,3,0,0,2,50.24724448897796,45040,2.257918552036199,0.5871743486973948,0.6683366733466933,0.3912825651302605,0.4886877828054298,0.308,1
RL,METROPOL RESTAURANT,"4/F, UNITED CENTRE, 95 QUEENSWAY, CENTRAL, HONG KONG",,114.1654177,22.2784312,73.0,11,7,5,4,1,11,0,0,0,50.24724448897796,45040,2.257918552036199,0.5871743486973948,0.6683366733466933,0.3912825651302605,0.4886877828054298,0.308,1
RL,CHIU CHOW GARDEN,"3/F, INFINITUS PLAZA, 199 DES VOEUX ROAD CENTRAL, CENTRAL, HONG KONG",#G,114.1536781,22.2864399,61.0,22,6,5,0,2,4,0,2,0,50.23044925124792,42090,2.047700170357752,0.6468386023294509,0.7133943427620633,0.4779534109816972,0.3364565587734242,0.271,1
RL,Peking Garden,"SHOP 5, LG1, THE MALL ONE PACIFIC PLACE, 88 QUEENSWAY, CENTRAL, HONG KONG",,114.1653875,22.2776878,73.0,34,3,0,2,0,7,0,0,3,50.24724448897796,45040,2.257918552036199,0.5871743486973948,0.6683366733466933,0.3912825651302605,0.4886877828054298,0.308,1
