TYPE,DIST,LICNO,SS,ADR,INFO,EXPDATE,lat,lng,census_subnit
RL,92,2292806302,Social Place,"SHOP NOS. UG43 AND UG81, UPPER GROUND FLOOR, CITYWALK, NO.1 YEUNG UK ROAD, TSUEN WAN, NEW TERRITORIES",,2022-06-27,22.369975905106383,114.11340761655634,[999]
RL,92,2292806320,TRIPLE O'S,"SHOP 116, 1/F, CITYWALK, 1 YEUNG UK ROAD, TSUEN WAN, NEW TERRITORIES",,2022-07-02,22.369975905106383,114.11340761655634,[999]
RL,92,2292806357,秘,"SHOP 7, G/F, YEN WAI GARDEN, 16-32 HEUNG SHING STREET, TSUEN WAN, NEW TERRITORIES",,2022-07-05,22.371972055347623,114.11071384051382,[997]
RL,92,2292806375,Chef 's Stage Kitchen,"SHOP 1056D AND 1058, LEVEL 1, DISCOVERY PARK, 398 CASTLE PEAK ROAD, TSUEN WAN, NEW TERRITORIES",,2022-07-12,22.3758308321125,114.1126549216512,[978]
RL,92,2292806384,妃子鬍鬚雞,"G/F,121 CHUEN LUNG STREET, TSUEN WAN, NEW TERRITORIES",,2022-07-17,22.36918171978052,114.11538004601158,[999]
RL,92,2292806393,圍威喂 Wai Wai Wai,"SHOP NO. 432, LEVEL 4, TSUEN WAN PLAZA, TSUEN WAN TOWN LOT NO. 326, TSUEN WAN, NEW TERRITORIES",,2022-09-02,22.37089000000003,114.11124000000008,[998]
RL,92,2292806409,Sushi Express,"SHOP E1 ON GROUND FLOOR  AND FIRST FLOOR, TSUEN FAT BUILDING, 13/17, 19 & 21/23 TSUEN HING PATH, TSUEN WAN, NEW TERRITORIES",#G#H,2022-10-08,22.372521824376904,114.11547233076556,[990]
RL,92,2292806418,一品雞煲火鍋,"G/F, 3 & 5 YI PEI SQUARE, TSUEN WAN, NEW TERRITORIES",#G,2022-10-14,22.369532502428413,114.1162023107131,[999]
RL,92,2292806427,Noble House,"SHOP NO. G34-36, G/F, WATERSIDE PLAZA PHASE 1, 38 WING SHUN STREET, TSUEN WAN, NEW TERRITORIES",#G,2022-10-22,22.363620000000022,114.11430000000009,[971]
RL,92,2292806436,Cha Fan,"SHOP 117, 1/F, CDW BUILDING, NO. 388 CASTLE PEAK ROAD, TSUEN WAN, NEW TERRITORIES",,2022-10-22,22.37537267728493,114.11311609396392,[978]
RL,92,2292806454,THE DINING ROOM,"SHOP 2012, LEVEL 2, D‧PARK, 398 CASTLE PEAK ROAD, TSUEN WAN, NEW TERRITORIES",,2022-11-01,22.3758308321125,114.1126549216512,[978]
RL,92,2292806463,DA HONG PAO,"16/F, OPTIMALL, 118 CHUEN LUNG STREET, TSUEN WAN, NEW TERRITORIES",#G,2022-11-07,22.36922886798588,114.11489657783642,[999]
RL,92,2292806506,MIXIAN SENSE,"MINOR PORTION OF SHOP NOS. FC1-5 AND SEATING AREA ON GROUND FLOOR, CITYWALK, NO. 1 YEUNG UK ROAD, TSUEN WAN, NEW TERRITORIES",,2022-12-09,22.369975905106383,114.11340761655634,[999]
RL,92,2292806515,Cafe de Coral,"MAJOR PORTION OF SHOP NOS. FC1-5 AND SEATING AREA ON GROUND FLOOR, CITYWALK, NO. 1 YEUNG UK ROAD, TSUEN WAN, NEW TERRITORIES",,2022-12-09,22.369975905106383,114.11340761655634,[999]
RL,92,2292806524,Adventist Restaurant,"6/F & 8/F, PORTION, TSUEN WAN ADVENTIST HOSPITAL, 199 TSUEN KING CIRCUIT, TSUEN WAN, NEW TERRITORIES",,2022-12-06,22.37690949923216,114.10497517050476,[980]
