TYPE,SS,ADR,INFO,lng,lat,census_subnit,number_of_nearby_restaurants,number_of_bus_stops,number_of_MTR_stations,number_of_schools,number_of_commercial_facilities,number_of_government_facilities,number_of_religious_facilities,number_of_medical_facilities,number_of_hotel_facilities,mean_median_age,median_hs_income,mean_hs_size,labour_force_percent,chinese_percent,pop_m_percent,ten_oc_percent,rent_to_income_ratio,survive
RR,棠記雲吞麵,"G/F, 234 SHA TSUI ROAD, TSUEN WAN, NEW TERRITORIES",[],114.11532740765966,22.37028783763307,999.0,1,2,0,3,2,0,0,6,10,37.50052410901468,23520.0,2.846911369740376,0.509748427672956,0.9410901467505242,0.4329140461215933,0.4153983885407341,0.312,1
RR,荃豐撈麵,"SHOP GA28-34, G/F, TSUEN FUNG CENTRE SHOPPING ARCADE, 144-172 CASTLE PEAK ROAD, TSUEN WAN, NEW TERRITORIES",[],114.12118116917904,22.370317305413103,1002.0,0,0,0,0,5,0,0,2,0,51.67946058091286,30150.0,3.055790363482671,0.4901798063623789,0.94716459197787,0.4553250345781466,0.7396449704142012,0.448,1
RR,Gold Moneo Vietnamese Restaurant,"SHOP NO. 3, G/F, INDIHOME, 138 YEUNG UK ROAD, TSUEN WAN, NEW TERRITORIES",[],114.11823953227992,22.3662691341556,1015.0,2,0,0,0,0,3,0,0,0,36.786254599972736,50170.0,2.5273854633138133,0.6108763799918223,0.9302167098269049,0.4343737222297942,0.7034102652428522,0.326,1
RR,泰迷你廚房,"SHOP 51 & 56, 1/F, CHEONG ON BUILDING, 186-200 SAI LAU KOK ROAD, TSUEN WAN, NEW TERRITORIES",[],114.12009,22.37131000000005,1002.0,15,0,0,3,1,0,0,1,1,51.67946058091286,30150.0,3.055790363482671,0.4901798063623789,0.94716459197787,0.4553250345781466,0.7396449704142012,0.448,1
RR,川風味,"G/F, 136 CHUNG ON STREET, TSUEN WAN, NEW TERRITORIES",[],114.11621454829174,22.368542683482417,1006.0,10,4,0,3,3,0,0,0,4,34.61874441465594,18040.0,2.3961456102783725,0.4865951742627346,0.9714030384271672,0.483467381590706,0.2441113490364025,0.283,0
RR,八方雲集鍋貼水餃店(荃灣),"G/F AND COCKLOFT, 8 TSUEN WAN MARKET STREET, TSUEN WAN, NEW TERRITORIES",[],114.11640884080737,22.37191820161972,995.0,4,3,0,0,4,0,0,0,3,37.48310741425344,18110.0,2.7292600896860986,0.4241117272540562,0.911275415896488,0.4719654959950708,0.3811659192825112,0.335,0
RR,Amuse,"G/F, 417 CASTLE PEAK ROAD, TSUEN WAN, NEW TERRITORIES",[],114.11237873794158,22.374767461966144,989.0,3,0,0,0,3,1,0,0,0,52.33464265850945,15570.0,2.268054241564175,0.4140711902113459,0.9760845383759732,0.457174638487208,0.0138757489750867,0.114,1
RR,香港仔一品魚蛋王,"SHOP 69, G/F (PODIUM B), WEALTHY GARDEN, 2-28 TSUEN FU STREET, 36-48 TSUEN WAH STREET, 1-27 TSUEN KWAI STREET, TSUEN WAN, NEW TERRITORIES",[],114.12178541259924,22.369197813034617,996.0,9,0,0,0,3,1,0,2,0,50.25028304557034,28140.0,2.8309294871794872,0.5162751202943674,0.9736767619586754,0.4656099632040759,0.7620192307692307,0.444,1
RR,T. W. Soho 1,"SHOP NO. 10-11, G/F, FORTUNE MANSION, 105-129 SHA TSUI ROAD, TSUEN WAN, NEW TERRITORIES",[],114.111432253435,22.37277068308218,991.0,8,1,0,0,4,0,0,1,0,36.88699165797706,17500.0,2.705218617771509,0.4692387904066736,0.8852971845672576,0.4906152241918665,0.3300423131170663,0.308,1
RR,Marco's Oyster Bar & Grill,"SHOP UG01-03, UG/F, CITYWALK 2, 18 YEUNG UK ROAD, TSUEN WAN, NEW TERRITORIES",[],114.11452190676448,22.36796009930221,1014.0,11,0,0,0,5,1,0,0,1,37.40216787103947,60500.0,2.669139465875371,0.6281267370761534,0.896609227348527,0.4469149527515286,0.7752225519287834,0.32,1
