TYPE,DIST,LICNO,SS,ADR,INFO,EXPDATE
RL,18,2213135454,TOKIO JOE,香港中環 德己立街58-62號 地下低層,#F#G#H,2024-04-03
RL,18,2213139289,昭隆美食,香港中環昭隆街21及23號地下,,2024-09-22
RL,18,2213140326,NEPAL BAR & RESTAURANT,香港中環 士丹頓街14號地下,,2024-10-29
RL,18,2213141189,PAMPAS ARGENTINIAN STEAK HOUSE,香港中環 伊利近街36號地下,,2024-11-19
RL,18,2213143255,McDonald's,香港衛城道 3及3A號低層,,2024-02-04
RL,18,2213146573,McDonald's,香港干諾道中200號 信德中心2樓267號舖,,2024-05-20
RL,18,2213146625,南記,香港中環士丹利街66-72號 佳德商業大廈地下3-4號舖,,2024-05-24
RL,18,2213147965,Soul Food,香港中環 伊利近街26-30號 萬城閣地下3號舖,,2024-07-07
RL,18,2213148153,八公館,香港中環 域多利皇后街5-8號地下及閣樓,,2024-07-14
RL,18,2213148223,PEAK CAFE BAR,香港中環 些利街9-13號 地下A及B舖,,2024-07-16
RL,18,2213149484,海都酒家,香港金鐘添美道1號 中信大廈5樓501號舖,#G,2024-08-26
RL,18,2213152305,天一閣素食,香港花園道51號科達中心三樓,#G#H,2024-11-05
RL,18,2213152554,AL DENTE,中環士丹頓街16號地下,,2024-11-16
RL,18,2213157285,八公館,香港中環 域多利皇后街5-8號1樓及2樓,,2024-03-23
RL,18,2213158543,美心MX,香港上環 干諾道中200號 信德中心二樓268號舖,,2024-05-05
RL,18,2213160382,夜上海,香港金鐘道88號 太古廣場第3層332室,,2024-07-12
RL,18,2213160577,大家樂,香港干諾道中34-37號 華懋大廈地下,,2024-07-18
RL,18,2213163266,Fresco Restaurant,香港中環 卑利街33號地下,,2024-09-22
RL,18,2213166210,JOLLIBEE,香港干諾道中13-14號 歐陸貿易中心地下Z4號舖(部份)及地庫A舖,,2024-11-30
RL,18,2213168447,大家樂,香港干諾道中34-37號 華懋大廈地庫，地下(部份)及1樓,,2024-12-14
RL,18,2213170073,Bouchon Bistro Francais,香港中環 伊利近街49號 地下D舖,,2024-01-27
RL,18,2213180074,寶湖海鮮酒家,"香港中環 租庇利街1號 喜訊大廈地下(部份), 1-3樓",,2024-10-22
RL,18,2213180278,BELLY AND THE BEER,香港中環卑利街62號地下低層,,2024-09-24
RL,18,2213185538,DIVINO,香港中環雲咸街73號 雲山大廈地下高層1號舖,#E#F,2024-02-01
RL,18,2213187446,ASK CAFE,香港中環皇后大道中181號 新紀元廣場低座2樓206-207號舖,,2024-04-19
