TYPE,DIST,LICNO,SS,ADR,INFO,EXPDATE
RL,63,2263805769,西江薈河鮮小館,"G/F, 110 TAI PO ROAD, SHAM SHUI PO, KOWLOON",,2023-02-26
RL,63,2263805778,公和荳品廠,"GROUND FLOOR & COCKLOFT, 118 PEI HO STREET, SHAM SHUI PO, KOWLOON",,2023-03-05
RL,63,2263805796,VA BENE,"UNIT L1-34, LEVEL 1, FESTIVAL WALK, 80 TAT CHEE AVENUE, KOWLOON TONG, KOWLOON",,2023-03-19
RL,63,2263805802,Teawood Taiwanese Cafe & Restaurant,"UNIT G-11, LEVEL G, FESTIVAL WALK, 80 TAT CHEE AVENUE, KOWLOON TONG, KOWLOON",,2023-03-20
RL,63,2263805820,THAI-GER,"SHOP 101, 1/F, D2 PLACE ONE, 9 CHEUNG YEE STREET, CHEUNG SHA WAN, KOWLOON",,2023-04-08
RL,63,2263805839,古早牛肉麵,"SHOP B , G/F, NG CHEONG HOUSE, NOS. 116-118 FUK WING STREET, SHAM SHUI PO, KOWLOON",,2023-04-22
RL,63,2263805848,元朗冰室,"SHOP E, G/F, EASTLAND TOWERS, 183-191 CASTLE PEAK ROAD, SHAM SHUI PO, KOWLOON",,2023-04-29
RL,63,2263805857,On-Yasai Gyukaku Japanese Yakiniku Restaurant,"UNIT LG1-29, LEVEL LG1, FESTIVAL WALK, 80 TAT CHEE AVENUE, KOWLOON TONG, KOWLOON",#G,2023-04-29
RL,63,2263805866,(no record found),"G/F, 205 KI LUNG STREET, SHAM SHUI PO, KOWLOON",,2023-05-01
RL,63,2263805875,Ki Lung Restaurant,"G/F, NO. 241 KI LUNG STREET, SHAM SHUI PO, KOWLOON",,2023-05-07
RL,63,2263805884,大中華飯店,"G/F, 40 KIM SHIN LANE, SHAM SHUI PO, KOWLOON",,2023-05-14
RL,63,2263805909,M G Y,"SHOP C, G/F, NO. 188 KI LUNG STREET, SHAM SHUI PO, KOWLOON",,2023-05-30
RL,63,2263805918,Cafe 82,"SHOP N33, G/F, NOS. 2-8, 9, 11, 15 & 17 HUMBERT STREET  & NOS. 17-25, 26, 27, 28-36 NASSAU STREET, MEI FOO SUN CHUEN, KOWLOON",,2023-07-05
RL,63,2263805927,GOLDEN CAFE,"G/F, 55 YEN CHOW STREET, SHAM SHUI PO, KOWLOON",,2023-07-08
RL,63,2263805936,賜記粉面茶餐廳,"SHOP 3, G/F, CITY REGALIA, NO. 198 YEE KUK STREET, SHAM SHUI PO, KOWLOON",,2023-07-12
RL,63,2263805945,沛 MW Korea House,"G/F, 178A FUK WA STREET, SHAM SHUI PO, KOWLOON",,2023-07-19
RL,63,2263805954,Watami Japanese Dining (The Pacifica Mall Shop),"SHOP NO. 6, 2/F., THE PACIFICA MALL, NO. 9 SHAM SHING ROAD, LAI CHI KOK, KOWLOON",#G#H,2023-07-29
RL,63,2263805963,MEATUP DINER & CARVERY,"SHOP 310, 3/F, D2 PLACE TWO, 15 CHEUNG SHUN STREET, CHEUNG SHA WAN, KOWLOON",,2023-08-05
RL,63,2263805972,家點心客家美食專門店,"G/F, NO. 294 KI LUNG STREET, SHAM SHUI PO, KOWLOON",,2022-08-07
RL,63,2263805981,天下茶屋,"SHOP A, G/F, NG CHEONG HOUSE, NOS. 116-118 FUK WING STREET, SHAM SHUI PO, KOWLOON",,2023-08-16
RL,63,2263805990,KAM WU CART NOODLE,"G/F, NO. 1C UN CHAU STREET, SHAM SHUI PO, KOWLOON",,2023-08-22
RL,63,2263806009,KUROIWA RAMEN,"G/F, 219 CHEUNG SHA WAN ROAD, SHAM SHUI PO, KOWLOON",,2022-08-26
RL,63,2263806018,聯力食堂,"G/F, NO. 186C HAI TAN STREET, SHAM SHUI PO, KOWLOON",,2022-09-05
RL,63,2263806027,SUN HAN YUEN,"G/F, KAM HOI BUILDING, 186 YU CHAU STREET, SHAM SHUI PO, KOWLOON",,2022-09-09
RL,63,2263806036,Torazou,"SHOP NO. G09-G10, G/F., UN CHAU SHOPPING CENTRE, UN CHAU ESTATE, 303 UN CHAU STREET, CHEUNG SHA WAN, KOWLOON",,2022-09-09
RL,63,2263806045,Yu Yu SUSHI,"SHOP 2, 1/F, HEYA CRYSTAL SHOPPING CENTRE, 399 CASTLE PEAK ROAD, CHEUNG SHA WAN, KOWLOON",#G#H,2022-09-10
RL,63,2263806054,Times Café,"SHOP 1B, G/F, ONE MADISON, 305 CASTLE PEAK ROAD, KOWLOON",,2022-10-02
RL,63,2263806063,Saizeriya Italian Restaurant,"SHOP NO. 3, G/F, HEYA CRYSTAL SHOPPING CENTRE, NO. 399 CASTLE PEAK ROAD, CHEUNG SHA WAN, KOWLOON",,2022-10-04
RL,63,2263806081,Harbour Cafe,"G/F., NOS. 56G, 56H, 56J & 56K YEN CHOW STREET, SHAM SHUI PO, KOWLOON",,2022-10-22
RL,63,2263806090,美荻餐廳,"G/F, NO. 5 AND 7 UN CHAU STREET, SHAM SHUI PO, KOWLOON",,2022-10-23
RL,63,2263806106,長發餐室小廚,"G/F, KAM HOI MANSION, NO. 245 HAI TAN STREET, SHAM SHUI PO, KOWLOON",,2022-10-30
RL,63,2263806115,粵明軒,"SHOP 8-9, G/F, WELLAND PLAZA, 188 NAM CHEONG STREET, SHAM SHUI PO, KOWLOON",,2022-10-30
RL,63,2263806124,DAI JOU BU SHOKUDO,"G/F., NO. 541 FUK WING STREET, SHAM SHUI PO, KOWLOON",#G#H,2022-10-31
RL,63,2263806142,The Night Market,"UNIT L2-43, LEVEL 2, FESTIVAL WALK, 80 TAT CHEE AVENUE, KOWLOON TONG, KOWLOON",,2022-11-21
RL,63,2263806151,TONG TONG TOWN,"SHOP NO. L1-33, LEVEL L1, FESTIVAL WALK, 80 TAT CHEE AVENUE, KOWLOON TONG, KOWLOON",,2022-11-25
RL,63,2263806179,Pho Xua 1986,"G/F., 249 YU CHAU STREET, SHAM SHUI PO, KOWLOON",,2023-01-08
RL,63,2263806197,Kung Fu Dim Sum,"G/F, 68 FUK WING STREET, G/F & M/F (PORTION), 70 FUK WING STREET, SHAM SHUI PO, KOWLOON",,2023-01-10
RL,63,2263806203,百分百餐廳,"SHOP NO. 3 (PORTION A), G/F, PO HEI COURT COMMERCIAL CENTRE, PO HEI COURT, NO. 255 PO ON ROAD, KOWLOON",,2023-01-10
RL,63,2263806212,BIU KEE LOK YUEN CHIU CHAU NOODLES RESTAURANT,"G/F, 149 FUK WA STREET, SHAM SHUI PO, KOWLOON",,2023-01-15
RL,63,2263806221,JAPANESE RESTAURANT - YU,"SHOP C, G/F, 5 NASSAU STREET, MEI FOO SUN CHUEN, SHAM SHUI PO, KOWLOON",#G#H,2023-01-15
RL,63,2263806230,陸生記粥食,"G/F, 97 FUK WING STREET, SHAM SHUI PO, KOWLOON",,2023-01-16
RL,63,2263806249,Golden Phoenix Restaurant,"SHOP 312, 3/F, D2 PLACE TWO, NO. 15 CHEUNG SHUN STREET, LAI CHI KOK, KOWLOON",,2023-01-20
RL,63,2263806258,TUNG YUET CAFE,"G/F, NO. 11 CHEUNG FAT STREET, KOWLOON",,2023-01-20
RL,63,2263806267,Sun Kam Dor Po Restaurant,"G/F, SUN RAY CREST, NO. 136 FUK WING STREET, SHAM SHUI PO, KOWLOON",,2023-01-22
RL,63,2263806276,Boholic,"G/F & 1/F, SEA PANORAMA COURT, NO. 561 FUK WA STREET, CHEUNG SHA WAN, KOWLOON",,2023-01-28
RL,63,2263806285,SOI EAT THAI CUISINE,"G/F, NO.454 CASTLE PEAK ROAD, KOWLOON",,2023-01-31
RL,63,2263806294,敬一素食,"SHOP A, G/F, 207 YEE KUK STREET, SHAM SHUI PO, KOWLOON",,2023-02-07
RL,63,2263806300,PHO BO,"G/F., 124 FUK WING STREET, SHAM SHUI PO, KOWLOON",,2023-02-07
RL,63,2263806319,一鵝,"G/F, NO. 228 KI LUNG STREET, SHAM SHUI PO, KOWLOON",,2023-02-28
RL,63,2263806328,Fairwood Fast Food,"UNIT G09C, G/F, CHEUNG SHA WAN PLAZA, 833 CHEUNG SHA WAN ROAD, KOWLOON",,2023-03-03
RL,63,2263806337,SKY CUISINE,"2/F, CHINA SHIPBUILDING TOWER, NO. 650 CHEUNG SHA WAN ROAD, KOWLOON",,2023-03-03
RL,63,2263806346,TSUGU,"SHOP 311, 3/F, D2 PLACE TWO, 15 CHEUNG SHUN STREET, CHEUNG SHA WAN, KOWLOON",#F#G#H,2023-03-18
RL,63,2263806355,Star  restaurant,"1/F, CHINA SHIPBUILDING TOWER, NO. 650 CHEUNG SHA WAN ROAD, CHEUNG SHA WAN, SHAM SHUI PO, KOWLOON",,2023-03-24
RL,63,2263806373,家家美食,"G/F., KAM SHA MANSION, 216 CHEUNG SHA WAN ROAD, KOWLOON",,2023-03-28
RL,63,2263806391,家後,"G/F, 211 KI LUNG STREET, SHAM SHUI PO, KOWLOON",,2023-04-03
RL,63,2263806407,THE SEAFOOD KITCHEN,"SHOP C & D, G/F WAH PONT HOUSE 69 - 75 FUK WA STREET, SHAM SHUI PO, KOWLOON",,2023-04-22
RL,63,2263806416,卡邦尼餐廳,"G/F, 145 CHEUNG SHA WAN ROAD, KOWLOON",,2023-04-22
RL,63,2263806425,王府餃子,"SHOP C, G/F, CHIU TAK MANSION, NOS 373-379 CASTLE PEAK ROAD, CHEUNG SHA WAN, KOWLOON",,2023-05-02
RL,63,2263806434,CAFE DE ITAMOMO / LIME FISH,"SHOP NO. 101C, 104, 107, 1/F, MANHATTAN MID-TOWN, 1 PO LUN STREET, MEI FOO, KOWLOON",,2023-06-09
RL,63,2263806443,J.S. FOODIES TOKYO,"PORTION A (THE RESTAURANT) OF UNIT LG2-30, LEVEL LG2, FESTIVAL WALK, 80 TAT CHEE AVENUE, KOWLOON TONG, KOWLOON",,2023-06-10
RL,63,2263806452,Tong Tong House Seafood Restaurant,"SHOP A, G/F, YUN FAT BUILDING, NOS. 231-247 UN CHAU STREET, SHAM SHUI PO, KOWLOON",,2023-06-17
RL,63,2263806461,Hungry Korean,"SHOP 309, 3/F, D2 PLACE TWO, 15 CHEUNG SHUN STREET, CHEUNG SHA WAN, KOWLOON",,2023-06-20
RL,63,2263806470,YEAH HO CAFE,"SHOP 1, G/F, 485-491 UN CHAU STREET, KOWLOON",,2023-07-01
RL,63,2263806498,西貢仔越南餐廳,"G/F., 245 KI LUNG STREET, SHAM SHUI PO, KOWLOON",,2023-07-18
RL,63,2263806513,荔園流金歲月/民園麵家,"SHOPS 211B, 212, 213, 215 & 216A, 2/F, D2 PLACE TWO, 15 CHEUNG SHUN STREET, CHEUNG SHA WAN, KOWLOON",,2023-07-23
RL,63,2263806540,Katoya / Mixian Gor,"FLAT A & B, G/F, 32,32A,34,34A,36,36A, 38,38A & 40 UN CHAU STREET, SHAM SHUI PO, KOWLOON",,2023-08-14
RL,63,2263806568,Sushi toku,"SHOP NO. 101A, 1/F, MANHATTAN MID-TOWN, 1 PO LUN STREET, LAI CHI KOK, KOWLOON",#G#H,2023-08-21
RL,63,2263806577,Seasons Cafe,"G/F. AND 1/F., KIN WO COURT, 243-245 YU CHAU STREET, SHAM SHUI PO, KOWLOON",,2022-08-22
RL,63,2263806586,名煌金閣,"SHOP A6, A16, A19 & A20, G/F., SMILING PLAZA, 162-168 UN CHAU STREET, SHAM SHUI PO, KOWLOON",,2022-09-02
RL,63,2263806595,SHER WONG YIP (SHING KEE) SNAKE SHOP,"G/F, 139 NAM CHEONG STREET, SHAM SHUI PO, KOWLOON",,2022-09-11
RL,63,2263806601,FOOD CREATIVE,"SHOP NO. 1A OF G/F AND 1/F, TUNG KING BUILDING, NO. 413 CASTLE PEAK ROAD, CHEUNG SHA WAN, KOWLOON",#G#H,2022-09-24
RL,63,2263806610,包點先生,"SHOP NO. 11, G/F., FORTUNE SHOPPING CENTRE, FORTUNE ESTATE, 8 HANG CHEUNG STREET, CHEUNG SHA WAN, KOWLOON",,2022-10-13
RL,63,2263806629,Tai Hing,"SHOP NO. F108, 1/F, NAM CHEONG PLACE, FU CHEONG ESTATE, SHAM SHUI PO, KOWLOON",,2022-10-23
RL,63,2263806638,(no record found),"SHOP NO. 5, G/F, HOI YING ESTATE, SHAM SHUI PO, KOWLOON",,2022-11-03
RL,63,2263806647,Fast Taste SSP,"G/F, 110 FUK WA STREET, SHAM SHUI PO, KOWLOON",,2022-11-06
RL,63,2263806656,星點心,"G/F., NO. 19 BOUNDARY STREET, KOWLOON",,2022-11-13
RL,63,2263806665,袋記粥店,"SHOP C, G/F, CHEUNG MING BUILDING, 76-78 CHEUNG SHA WAN ROAD, SHAM SHUI PO, KOWLOON",,2022-11-20
RL,63,2263806683,YAMADA JAPANESE RESTAURANT,"G/F, 564 FUK WA STREET, CHEUNG SHA WAN, KOWLOON",#G#H,2022-11-25
RL,63,2263806708,六本木,"SHOP 5-6, G/F, KIN MAN BUILDING, NOS. 66-74 CASTLE PEAK ROAD, SHAM SHUI PO, KOWLOON",#G#H,2022-11-27
RL,63,2263806717,Ah Yung Hotpot And Peninsula Cuisine,"SHOP NO. F102, FIRST FLOOR, NAM CHEONG PLACE, FU CHEONG ESTATE, SAI CHUEN ROAD, SHAM SHUI PO, KOWLOON",#G,2022-12-01
RL,63,2263806726,CHAYAMACHI,"G/F., 217 CHEUNG SHA WAN ROAD, SHAM SHUI PO, KOWLOON",,2022-12-08
RL,63,2263806735,Saizeriya Italian Restaurant,"UNITS NOS. 309-310, 3/F, DRAGON CENTRE, 37K YEN CHOW STREET, SHAM SHUI PO, KOWLOON",,2022-12-08
RL,63,2263806753,Sushi Express,"SHOP NO. 3 (MAJOR PORTION), G/F, UN CHAU SHOPPING CENTRE, UN CHAU ESTATE, 303 UN CHAU STREET, CHEUNG SHA WAN, KOWLOON",#G#H,2022-12-15
RL,63,2263806762,NGAN LUNG RESTAURANT,"SHOP NO.G02, SO UK SHOPPING CENTRE, SO UK ESTATE, CHEUNG SHA WAN, KOWLOON",,2022-12-16
RL,63,2263806771,潮味苑,"SHOP A, G/F, ASIAN BUILDING, NOS. 254-258 CHEUNG SHA WAN ROAD, SHAM SHUI PO, KOWLOON",,2022-12-18
RL,63,2263806780,MX,"SHOP NO. G08, G/F., SO UK SHOPPING CENTRE, SO UK ESTATE, SHAM SHUI PO, KOWLOON",,2022-12-30
RL,63,2263806799,金龍會,"1/F, CHUNG CHING BUILDING, 48-52 TAI PO ROAD, SHAM SHUI PO, KOWLOON",,2023-01-09
RL,63,2263806805,WAI WAI WAI,"SHOP 1, G/F., SING SHUN CENTRE, 495 CASTLE PEAK ROAD, LAI CHI KOK, KOWLOON",,2023-01-13
RL,63,2263806814,YM Tong,"SHOP NO.1, G/F., NAM SHAN ESTATE MARKET, KOWLOON",,2023-01-20
RL,63,2263806823,GRAND FULUM,"SHOP L2-73, LEVEL 2, V WALK, NO.28 SHAM MONG ROAD, SHAM SHUI PO, KOWLOON",,2023-01-21
RL,63,2263806832,WHAT THE PHO,"SHOP L2-107, LEVEL 2, V WALK, 28 SHAM MONG ROAD, SHAM SHUI PO, KOWLOON",,2023-01-23
RL,63,2263806841,Hei Baat Fong,"MAJOR PORTION OF SHOP B, G/F, TAI TAK BUILDING, NO. 298 KI LUNG STREET, SHAM SHUI PO, KOWLOON",,2023-02-04
RL,63,2263806850,雞仔去骨海南雞專門店,"SHOP H, G/F, WING LUNG BUILDING, 220-240A CASTLE PEAK ROAD, 20-22 WING LUNG STREET, SHAM SHUI PO, KOWLOON",,2023-02-10
